month,count
2018-07,694
2018-08,12551
2018-09,11269
2018-10,8568
2018-11,8243
2019-00,8482
2019-01,8400
2019-02,10636
2019-03,12303
2019-04,13411
2019-05,14284
2019-06,13586
2019-07,13841
2019-08,16920
2019-09,15034
2019-10,12080
2019-11,11293
2020-00,11383
2020-01,11842
2020-02,7332
2020-03,770
2020-04,1587
2020-05,3992
2020-06,7339
2020-07,8280
